iterations = 1, 0.772, 0.995, 0.776, 30, 3302347013.8851113, changed = True, neighbourhood = 0 
iterations = 2, 0.789, 0.995, 0.793, 30, 2345419312.377728, changed = True, neighbourhood = 0 
iterations = 3, 0.787, 0.993, 0.793, 30, 1639805146.605486, changed = True, neighbourhood = 0 
iterations = 4, 0.822, 0.993, 0.828, 30, 1747261333.8691258, changed = True, neighbourhood = 0 
iterations = 5, 0.856, 0.993, 0.862, 30, 2087355754.591402, changed = True, neighbourhood = 0 
iterations = 6, 0.856, 0.993, 0.862, 30, 2019983407.8264778, changed = True, neighbourhood = 0 
iterations = 7, 0.831, 0.993, 0.837, 30, 1903879834.036733, changed = True, neighbourhood = 0 
iterations = 8, 0.874, 0.995, 0.878, 30, 2945613374.35955, changed = True, neighbourhood = 0 
iterations = 9, 0.874, 0.995, 0.878, 30, 2473465180.3658404, changed = True, neighbourhood = 0 
iterations = 10, 0.874, 0.995, 0.878, 30, 2411381470.182663, changed = True, neighbourhood = 0 
iterations = 11, 0.874, 0.995, 0.878, 30, 2381019894.5818343, changed = True, neighbourhood = 0 
iterations = 12, 0.898, 0.995, 0.902, 30, 2930558616.976297, changed = True, neighbourhood = 0 
iterations = 13, 0.898, 0.995, 0.902, 30, 2959203064.045442, changed = True, neighbourhood = 0 
iterations = 14, 0.898, 0.995, 0.902, 30, 2887365209.4575977, changed = True, neighbourhood = 0 
iterations = 15, 0.898, 0.995, 0.902, 30, 3053127010.570095, changed = True, neighbourhood = 0 
iterations = 16, 0.898, 0.995, 0.902, 30, 2970726023.584664, changed = True, neighbourhood = 0 
iterations = 17, 0.898, 0.995, 0.902, 30, 2960799839.2732887, changed = True, neighbourhood = 0 
iterations = 18, 0.898, 0.995, 0.902, 30, 2874559234.175148, changed = True, neighbourhood = 0 
iterations = 19, 0.894, 0.995, 0.898, 30, 2854606040.1919084, changed = True, neighbourhood = 0 
iterations = 20, 0.894, 0.995, 0.898, 30, 2846291758.0326023, changed = True, neighbourhood = 0 
iterations = 21, 0.894, 0.995, 0.898, 30, 2726066848.225994, changed = True, neighbourhood = 0 
iterations = 22, 0.894, 0.996, 0.898, 30, 2719049747.612129, changed = True, neighbourhood = 0 
iterations = 23, 0.894, 0.996, 0.898, 30, 2723934007.7779994, changed = True, neighbourhood = 0 
iterations = 24, 0.894, 0.996, 0.898, 30, 2745488739.3909664, changed = True, neighbourhood = 0 
iterations = 25, 0.894, 0.996, 0.898, 30, 2745488739.3909664, changed = True, neighbourhood = 0 
iterations = 26, 0.894, 0.996, 0.898, 30, 2759106688.795118, changed = True, neighbourhood = 0 
iterations = 27, 0.894, 0.996, 0.898, 30, 2661087596.5338125, changed = True, neighbourhood = 0 
iterations = 28, 0.894, 0.996, 0.898, 30, 2634360847.622736, changed = True, neighbourhood = 0 
iterations = 29, 0.894, 0.996, 0.898, 30, 2675686907.6879582, changed = True, neighbourhood = 0 
iterations = 30, 0.894, 0.996, 0.898, 30, 2630732390.2802954, changed = True, neighbourhood = 0 
iterations = 31, 0.894, 0.996, 0.898, 30, 2652861586.936155, changed = True, neighbourhood = 0 
iterations = 32, 0.894, 0.996, 0.898, 30, 2606017827.0205393, changed = True, neighbourhood = 0 
iterations = 33, 0.894, 0.996, 0.898, 30, 2592638536.246418, changed = True, neighbourhood = 0 
