[{'id': '370_3', 'cost': 7460, 'act': 5329, 'utils': {'Role 1': 0.0, 'Role 2': 0.0}}, {'id': '314_1', 'cost': 6300, 'act': 5366, 'utils': {'Role 1': 0.0, 'Role 2': 0.02}}, {'id': '87_4', 'cost': 1820, 'act': 5405, 'utils': {'Role 1': 0.01, 'Role 2': 0.0}}, {'id': '1_1', 'cost': 40, 'act': 42322, 'utils': {'Role 1': 0.85, 'Role 2': 0.11}}, {'id': '3_1', 'cost': 80, 'act': 6580, 'utils': {'Role 1': 0.32, 'Role 2': 0.0}}, {'id': '2_1', 'cost': 60, 'act': 9617, 'utils': {'Role 1': 0.5, 'Role 2': 0.01}}, {'id': '4_1', 'cost': 100, 'act': 6033, 'utils': {'Role 1': 0.26, 'Role 2': 0.0}}, {'id': '5_1', 'cost': 120, 'act': 5649, 'utils': {'Role 1': 0.18, 'Role 2': 0.02}}, {'id': '6_1', 'cost': 140, 'act': 5551, 'utils': {'Role 1': 0.15, 'Role 2': 0.02}}, {'id': '5_4', 'cost': 180, 'act': 5473, 'utils': {'Role 1': 0.19, 'Role 2': 0.0}}] 
iterations = 2, 0.0, 0.0, 0.0, 1, 0, changed = True, neighbourhood = 21 
iterations = 4, 0.002, 0.036, 0.06, 2, 3384300.0, changed = True, neighbourhood = 22 
iterations = 6, 0.006, 0.096, 0.065, 4, 3713370.0, changed = True, neighbourhood = 19 
iterations = 8, 0.005, 0.04, 0.125, 3, 7031840.0, changed = True, neighbourhood = 21 
iterations = 10, 0.004, 0.023, 0.185, 2, 10177960.0, changed = True, neighbourhood = 18 
iterations = 12, 0.008, 0.034, 0.246, 4, 13527570.0, changed = True, neighbourhood = 20 
iterations = 14, 0.016, 0.054, 0.306, 5, 16946070.0, changed = True, neighbourhood = 19 
iterations = 16, 0.03, 0.082, 0.367, 7, 20446830.0, changed = True, neighbourhood = 21 
iterations = 18, 0.078, 0.183, 0.427, 6, 23890630.0, changed = True, neighbourhood = 22 
iterations = 20, 0.046, 0.094, 0.488, 3, 26518680.0, changed = True, neighbourhood = 22 
iterations = 22, 0.031, 0.057, 0.548, 7, 29817510.0, changed = True, neighbourhood = 17 
iterations = 24, 0.03, 0.048, 0.609, 5, 33050240.0, changed = True, neighbourhood = 17 
iterations = 26, 0.003, 0.055, 0.06, 3, 3357200.0, changed = True, neighbourhood = 20 
iterations = 28, 0.012, 0.099, 0.121, 4, 6785700.0, changed = True, neighbourhood = 19 
iterations = 30, 0.021, 0.116, 0.181, 4, 10014950.0, changed = True, neighbourhood = 18 
iterations = 32, 0.014, 0.059, 0.242, 4, 13029620.0, changed = True, neighbourhood = 18 
iterations = 34, 0.024, 0.099, 0.246, 5, 13163700.0, changed = True, neighbourhood = 13 
iterations = 36, 0.03, 0.118, 0.25, 6, 13341940.0, changed = True, neighbourhood = 8 
iterations = 38, 0.02, 0.077, 0.254, 6, 13568880.0, changed = True, neighbourhood = 14 
iterations = 40, 0.037, 0.144, 0.258, 6, 13794970.0, changed = True, neighbourhood = 15 
iterations = 42, 0.044, 0.168, 0.262, 6, 14011920.0, changed = True, neighbourhood = 11 
iterations = 44, 0.246, 0.923, 0.266, 9, 18795770.0, changed = True, neighbourhood = 10 
iterations = 45, 0.246, 0.923, 0.266, 9, 18795770.0, changed = False, neighbourhood = 9 
iterations = 46, 0.246, 0.923, 0.266, 9, 18793970.0, changed = True, neighbourhood = 14 
iterations = 48, 0.123, 0.46, 0.266, 9, 16521460.0, changed = False, neighbourhood = 12 
iterations = 49, 0.123, 0.46, 0.266, 9, 16521460.0, changed = False, neighbourhood = 11 
iterations = 50, 0.123, 0.46, 0.266, 9, 16521460.0, changed = False, neighbourhood = 11 
