iterations = 18, 0.396, 0.793, 0.5, 14, 657298740.0, changed = True, neighbourhood = 351 
iterations = 20, 0.334, 0.597, 0.559, 16, 1097235490.0, changed = True, neighbourhood = 175 
iterations = 22, 0.539, 0.833, 0.647, 19, 2074016830.0, changed = True, neighbourhood = 180 
iterations = 24, 0.497, 0.769, 0.647, 20, 2074123230.0, changed = False, neighbourhood = 143 
iterations = 25, 0.497, 0.769, 0.647, 20, 2074123230.0, changed = False, neighbourhood = 182 
iterations = 26, 0.497, 0.769, 0.647, 20, 2074123230.0, changed = False, neighbourhood = 168 
iterations = 28, 0.52, 0.769, 0.676, 22, 2077419440.0, changed = True, neighbourhood = 167 
iterations = 29, 0.52, 0.769, 0.676, 22, 2077419440.0, changed = False, neighbourhood = 186 
iterations = 30, 0.52, 0.769, 0.676, 22, 2077419440.0, changed = False, neighbourhood = 229 
iterations = 32, 0.588, 0.769, 0.765, 25, 2087467840.0, changed = True, neighbourhood = 187 
iterations = 34, 0.634, 0.769, 0.824, 26, 2093916260.0, changed = True, neighbourhood = 249 
iterations = 36, 0.641, 0.77, 0.833, 29, 2100230830.0, changed = True, neighbourhood = 195 
iterations = 38, 0.567, 0.77, 0.737, 27, 2093801570.0, changed = True, neighbourhood = 264 
iterations = 39, 0.567, 0.77, 0.737, 27, 2093801570.0, changed = False, neighbourhood = 214 
iterations = 40, 0.567, 0.77, 0.737, 27, 2093717970.0, changed = True, neighbourhood = 162 
iterations = 41, 0.567, 0.77, 0.737, 27, 2093717970.0, changed = False, neighbourhood = 187 
iterations = 42, 0.567, 0.77, 0.737, 27, 2093717970.0, changed = False, neighbourhood = 201 
iterations = 43, 0.567, 0.77, 0.737, 27, 2093717970.0, changed = False, neighbourhood = 190 
iterations = 44, 0.567, 0.77, 0.737, 27, 2093717970.0, changed = False, neighbourhood = 199 
iterations = 45, 0.567, 0.77, 0.737, 27, 2093717970.0, changed = False, neighbourhood = 201 
iterations = 46, 0.553, 0.77, 0.718, 27, 2093717970.0, changed = False, neighbourhood = 202 
iterations = 47, 0.539, 0.77, 0.7, 27, 2093717970.0, changed = False, neighbourhood = 203 
iterations = 48, 0.526, 0.77, 0.683, 27, 2093717970.0, changed = False, neighbourhood = 214 
iterations = 49, 0.513, 0.77, 0.667, 27, 2093717970.0, changed = False, neighbourhood = 210 
iterations = 50, 0.513, 0.77, 0.667, 27, 2093717970.0, changed = False, neighbourhood = 209 
